no,unit,name,money
文化部,第一期,科技創新應用與產業發展組,單位：新台幣
NO,申請單位,計畫名稱,獲補助金額
1,動能意像製作有限公司,水下三十米雲端平台,"1,000萬"
2,宏達國際電子股份有限公司,台灣虛擬內容影視基地 Taiwan Virtual Media and Entertainment Base計劃,"1,000萬"
3,學思行數位行銷股份有限公司,讀冊生活｜香港閱讀推廣,221萬
4,?式有限公司,無人機群控系統開發計畫,204萬
5,夢想視覺特效有限公司,影視產業製程加速整合系統實測,714萬
6,極限電競股份有限公司,電競超實境數位內容暨四網匯流直播平台,"1,000萬"
7,智崴全球股份有限公司,Flyday飛行劇院《飛越臺灣（暫名）》,"1,000萬"
8,國立臺南藝術大學,VR/AR/MR導入博物館之創新應用 – 史前博物館南科分館之館藏活化,463萬
9,科科農場股份有限公司,Muzeum創意產業區塊鏈計畫書,"1,000萬"
10,新銳數位股份有限公司,SOSreader寫作與閱讀內容平台強化發展計畫,703萬
11,星輿股份有限公司,基於文化區塊鏈的聊天機器人平台與高階機器人服務設計,205萬
12,潮網科技股份有限公司,台灣泛娛樂大數據產業提升計畫,561萬
13,阿榮影業股份有限公司,AI劇本診斷醫生平台開發計畫,500萬
14,拍手數位科技有限公司,拍手影視整合平台計畫,400萬
評選委員名單(依姓氏筆畫序列)：丁曉菁、王淑芳、邱明慧、馮賢賢、黃俊傑、葉家宏、董澤平、劉奕成,,,
